
Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points
André Onana,Ajax,Goalkeeper,30,589,11,0.93,0,2.53,2.71,94,43,76,33,2,0,152.6,
Benjamin van Leer,Ajax,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Norbert Alblas,Ajax,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Kostas Lamprou,Ajax,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Kenneth Vermeer,Feyenoord,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Justin Bijlow,Feyenoord,Goalkeeper,1,14,0,1.0,0,1.0,1.0,100,0,77,37,0,0,22.0,
Brad Jones,Feyenoord,Goalkeeper,29,199,10,1.14,0,2.34,2.06,96,17,67,39,1,0,143.8,
Ramón ten Hove,Feyenoord,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Roman Weidenfeller,Borussia Dortmund,Goalkeeper,1,48,0,4.0,0,2.0,0.5,100,0,46,40,0,0,42.0,
Dominik Reimann,Borussia Dortmund,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Roman Bürki,Borussia Dortmund,Goalkeeper,27,87,10,1.3,0,1.78,1.37,96,19,74,34,3,0,126.6,
Manuel Neuer,FC Bayern München,Goalkeeper,3,65,2,0.67,0,1.67,2.5,100,0,86,31,0,0,47.4,
Tom Starke,FC Bayern München,Goalkeeper,2,81,2,0.0,0,1.5,3.0,100,0,68,32,0,0,42.0,
Sven Ulreich,FC Bayern München,Goalkeeper,24,280,11,0.79,0,1.38,1.94,92,25,76,33,1,0,118.6,
Christian Früchtl,FC Bayern München,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Jan Oblak,Atlético de Madrid,Goalkeeper,31,660,19,0.48,0,2.42,5.0,90,16,54,44,1,0,185.4,
Axel Werner,Atlético de Madrid,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Sergio Rico,Sevilla,Goalkeeper,24,149,9,1.63,0,1.96,1.21,92,50,66,37,2,0,121.2,
David Soria,Sevilla,Goalkeeper,8,39,2,1.38,0,2.5,2.0,100,75,68,33,1,0,73.0,
Juan Soriano,Sevilla,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Kevin Trapp,Paris Saint-Germain,Goalkeeper,3,162,1,0.67,0,4.33,6.5,100,33,92,22,0,0,96.6,
Alphonse Areola,Paris Saint-Germain,Goalkeeper,29,709,15,0.69,0,1.52,2.32,91,14,92,24,0,0,148.4,
Remy Descamps,Paris Saint-Germain,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Álvaro Fernández,Monaco,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Danijel Subasic,Monaco,Goalkeeper,29,199,7,1.14,0,2.34,2.06,90,21,70,38,3,0,129.8,
Diego Benaglio,Monaco,Goalkeeper,3,78,2,0.0,0,2.0,6.0,100,0,75,35,0,0,54.0,
Seydou Sy,Monaco,Goalkeeper,2,30,1,0.5,0,1.0,2.0,100,50,63,41,1,0,27.0,
Loic Badiashile,Monaco,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Gianluigi Buffon,Juventus,Goalkeeper,16,283,10,0.63,0,1.94,3.44,88,31,80,32,1,0,109.8,
Carlo Pinsoglio,Juventus,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Wojciech Szczesny,Juventus,Goalkeeper,15,312,10,0.53,0,1.2,2.25,85,7,82,33,0,0,94.0,
Mattia Del Favero,Juventus,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Leonardo Loria,Juventus,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Alisson,Roma,Goalkeeper,31,877,13,0.84,0,2.84,3.38,89,32,83,32,1,0,169.8,
Andrea Romagnoli,Roma,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Bogdan Lobont,Roma,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Lukasz Skorupski,Roma,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Thomas Strakosha,Lazio,Goalkeeper,31,324,8,1.29,0,2.77,2.26,99,29,79,32,0,0,149.4,
Federico Marchetti,Lazio,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Guido Guerrieri,Lazio,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Ivan Vargic,Lazio,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
Rafael Cabral,Napoli,Goalkeeper,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,
