
Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Joël Veltman,Ajax,Defender,28,624,1,29,0,20,86,18,49,5,2,7,1,183.0,
Matthijs de Ligt,Ajax,Defender,29,847,3,26,0,9,90,19,53,7,4,8,0,202.25,
Maximilian Wöber,Ajax,Defender,19,406,1,38,0,3,87,19,60,4,1,2,0,133.75,
Davinson Sánchez,Tottenham Hotspur,Defender,26,553,0,17,0,3,89,21,48,7,0,1,1,155.75,
Daley Sinkgraven,Ajax,Defender,4,61,0,0,0,2,88,18,50,1,0,0,0,26.5,
Nick Viergever,Ajax,Defender,12,369,2,75,0,13,87,18,38,6,0,2,0,98.25,
Mitchell Dijks,Ajax,Defender,9,112,0,20,0,8,84,16,57,3,0,0,0,71.0,
Rasmus Kristensen,Ajax,Defender,6,15,0,50,0,6,82,16,39,3,0,1,0,42.5,
Donny van de Beek,Ajax,Midfielder,30,786,10,45,0,43,82,15,51,2,0,4,0,260,
Hakim Ziyech,Ajax,Midfielder,30,1161,8,42,0,127,76,21,46,2,0,4,0,326,
Robert Muric,Sporting Braga,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lasse Schöne,Ajax,Midfielder,26,774,10,47,0,38,86,17,50,3,0,6,0,240,
Frenkie de Jong,Ajax,Midfielder,22,854,0,25,0,32,92,16,71,2,1,2,0,175,
Siem de Jong,Ajax,Midfielder,20,161,4,50,0,12,74,15,36,0,0,0,0,127,
Klaas-Jan Huntelaar,Ajax,Forward,24,542,12,51,0,22,74,12,46,0,0,4,0,194.5,
Amin Younes,Ajax,Forward,13,336,1,53,0,17,79,14,56,1,0,0,0,93.25,
Vaclav Cerny,Ajax,Forward,4,87,0,67,0,9,88,15,44,0,0,0,0,34.25,
Mateo Cassierra,Ajax,Forward,3,33,1,75,0,1,81,13,33,0,0,0,0,22.25,
Kasper Dolberg,Ajax,Forward,19,158,5,53,0,14,77,12,43,0,0,0,0,136.5,
Miquel Nelom,Sparta Rotterdam,Defender,9,83,0,0,0,3,75,22,41,6,0,0,0,63.75,
Bart Nieuwkoop,Feyenoord,Defender,11,78,0,33,0,9,80,16,51,4,1,2,0,80.25,
Sven van Beek,Feyenoord,Defender,19,442,0,75,0,5,87,20,44,7,0,2,0,118.25,
Jeremiah St. Juste,Feyenoord,Defender,15,283,2,38,0,7,86,18,53,5,0,2,0,116.75,
Ridgeciano Haps,Feyenoord,Defender,19,241,0,25,0,9,85,19,63,3,0,2,0,135.25,
Jan-Arie van der Hei..,Feyenoord,Defender,14,239,0,25,0,1,89,21,55,7,1,6,0,95.25,
Kevin Diks,Feyenoord,Defender,19,300,0,43,0,12,86,19,50,4,0,1,0,127.0,
Renato Tapia,Feyenoord,Defender,13,318,1,25,0,0,86,22,52,9,1,1,0,103.0,
Eric Botteghin,Feyenoord,Defender,9,104,0,25,0,5,86,22,51,4,0,2,0,64.25,
Tyrell Malacia,Feyenoord,Defender,9,61,0,50,0,4,77,18,53,4,0,1,1,62.0,
Karim El Ahmadi,Feyenoord,Midfielder,29,660,2,41,0,22,89,16,42,3,1,2,0,200,
Tonny Vilhena,Feyenoord,Midfielder,30,633,10,57,0,41,82,16,46,2,1,3,0,256,
